Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2022-09-12,4550,4.51,4.56,4.51,"7,68M","1,11%"
2022-09-09,4500,4.52,4.57,4.5,"10,00M","-0,44%"
2022-09-08,4520,4.59,4.61,4.52,"13,66M","-1,53%"
2022-09-07,4590,4.51,4.59,4.49,"24,75M","1,77%"
2022-09-06,4510,4.53,4.54,4.45,"23,76M","-0,44%"
2022-09-05,4530,4.55,4.57,4.51,"13,21M","-0,44%"
2022-09-02,4550,4.54,4.6,4.54,"10,50M","0,22%"
2022-09-01,4540,4.59,4.61,4.54,"13,16M","-1,09%"
2022-08-31,4590,4.58,4.62,4.53,"38,27M","0,22%"
2022-08-30,4580,4.59,4.63,4.58,"20,83M","0,00%"
2022-08-29,4580,4.56,4.6,4.51,"24,35M","-0,65%"
2022-08-26,4610,4.85,4.85,4.61,"44,80M","-4,75%"
2022-08-25,4840,4.85,4.87,4.8,"10,18M","-0,21%"
2022-08-24,4850,4.82,4.88,4.8,"14,30M","0,83%"
2022-08-23,4810,4.8,4.83,4.76,"18,46M","1,26%"
2022-08-22,4750,4.75,4.8,4.73,"14,21M","0,42%"
2022-08-19,4730,4.81,4.83,4.73,"13,16M","-1,25%"
2022-08-18,4790,4.8,4.81,4.73,"14,62M","0,42%"
2022-08-16,4770,4.78,4.81,4.71,"11,49M","0,21%"
2022-08-15,4760,4.77,4.78,4.71,"14,08M","-0,21%"
2022-08-12,4770,4.75,4.85,4.75,"20,61M","0,42%"
2022-08-11,4750,4.79,4.8,4.74,"17,60M","-0,63%"
2022-08-10,4780,4.72,4.78,4.66,"21,24M","1,27%"
2022-08-09,4720,4.8,4.8,4.72,"14,90M","-1,46%"
2022-08-08,4790,4.74,4.8,4.73,"20,76M","1,48%"
2022-08-05,4720,4.65,4.74,4.62,"32,17M","2,61%"
2022-08-04,4600,4.59,4.61,4.53,"18,72M","0,22%"
2022-08-03,4590,4.6,4.6,4.55,"14,25M","-0,22%"
2022-08-02,4600,4.55,4.61,4.53,"22,77M","1,10%"
2022-08-01,4550,4.53,4.65,4.51,"28,25M","0,89%"
2022-07-29,4510,4.52,4.56,4.48,"55,53M","0,00%"
2022-07-28,4510,4.72,4.77,4.5,"82,75M","-4,45%"
2022-07-27,4720,4.95,5.025,4.71,"49,44M","-4,26%"
2022-07-26,4930,4.93,4.95,4.9,"8,24M","0,00%"
2022-07-25,4930,4.98,4.98,4.92,"9,19M","-1,40%"
2022-07-22,5000,5.0,5.0,4.94,"14,58M","0,00%"
2022-07-21,5000,4.97,5.0,4.89,"13,83M","0,60%"
2022-07-20,4970,4.99,5.1,4.95,"37,84M","0,00%"
2022-07-19,4970,4.97,4.99,4.89,"16,54M","-0,20%"
2022-07-18,4980,4.87,4.98,4.83,"10,75M","3,11%"
2022-07-15,4830,4.9,4.93,4.82,"13,12M","-1,43%"
2022-07-14,4900,4.9,4.9,4.8,"17,03M","0,00%"
2022-07-13,4900,4.9,4.92,4.82,"13,09M","0,41%"
2022-07-12,4880,4.8,4.88,4.77,"15,68M","1,67%"
2022-07-11,4800,4.9,4.91,4.75,"20,53M","-1,84%"
2022-07-08,4890,5.025,5.025,4.81,"26,42M","-2,20%"
2022-07-07,5000,4.82,5.025,4.8,"37,54M","4,60%"
2022-07-06,4780,4.74,4.83,4.71,"12,19M","0,42%"
2022-07-05,4760,4.7,4.78,4.68,"14,99M","1,28%"
2022-07-04,4700,4.8,4.82,4.55,"22,09M","-2,69%"
2022-07-01,4830,4.75,4.86,4.69,"19,35M","1,26%"
2022-06-30,4770,4.95,4.98,4.75,"32,84M","-3,44%"
2022-06-29,4940,5.0,5.05,4.91,"17,04M","-2,18%"
2022-06-28,5050,4.98,5.075,4.96,"23,79M","1,41%"
2022-06-27,4980,4.99,5.0,4.9,"19,62M","-0,20%"
2022-06-24,4990,4.93,4.99,4.87,"22,54M","0,60%"
2022-06-23,4960,4.9,5.0,4.86,"33,62M","1,43%"
2022-06-22,4890,5.05,5.05,4.86,"25,75M","-3,17%"
2022-06-21,5050,5.05,5.1,4.95,"38,36M","0,50%"
2022-06-20,5025,4.68,5.025,4.66,"64,62M","8,06%"
2022-06-17,4650,4.76,4.8,4.65,"35,64M","-3,13%"
2022-06-16,4800,4.85,4.85,4.73,"19,89M","0,00%"
2022-06-15,4800,4.75,4.81,4.69,"24,16M","1,27%"
2022-06-14,4740,4.64,4.74,4.61,"22,50M","1,07%"
2022-06-13,4690,4.69,4.7,4.6,"28,95M","-1,26%"
2022-06-10,4750,4.78,4.79,4.72,"20,08M","-1,45%"
2022-06-09,4820,4.9,4.93,4.76,"32,24M","-1,43%"
2022-06-08,4890,4.74,4.97,4.73,"56,20M","3,38%"
2022-06-07,4730,4.77,4.78,4.72,"19,56M","-0,84%"
2022-06-06,4770,4.72,4.78,4.7,"16,17M","1,06%"
2022-06-03,4720,4.81,4.81,4.72,"25,52M","-1,46%"
2022-06-02,4790,4.76,4.89,4.71,"56,09M","1,27%"
2022-05-31,4730,4.68,4.82,4.63,"93,94M","1,72%"
2022-05-30,4650,4.76,4.76,4.62,"49,61M","-2,31%"
2022-05-27,4760,4.8,4.84,4.71,"31,89M","-0,21%"
2022-05-25,4770,4.86,4.9,4.73,"38,99M","-0,83%"
2022-05-24,4810,4.92,4.95,4.7,"39,46M","-1,43%"
2022-05-23,4880,5.05,5.075,4.85,"37,18M","-3,37%"
2022-05-20,5050,4.87,5.125,4.86,"58,52M","3,48%"
2022-05-19,4880,4.96,5.0,4.85,"56,27M","-2,89%"
2022-05-18,5025,4.82,5.075,4.81,"88,53M","4,69%"
2022-05-17,4800,4.81,4.9,4.66,"43,84M","0,00%"
2022-05-13,4800,4.69,4.9,4.66,"79,20M","2,35%"
2022-05-12,4690,4.92,4.94,4.58,"118,62M","-3,89%"
2022-05-11,4880,4.4,4.94,4.38,"197,75M","11,42%"
2022-05-10,4380,4.01,4.4,3.99,"172,56M","9,23%"
2022-05-09,4010,4.0,4.14,3.89,"103,95M","3,08%"
2022-04-28,3890,3.83,3.92,3.77,"33,89M","2,10%"
2022-04-27,3810,3.89,3.9,3.77,"36,44M","-2,06%"
2022-04-26,3890,3.72,3.93,3.69,"96,74M","5,42%"
2022-04-25,3690,3.42,3.72,3.4,"53,26M","7,58%"
2022-04-22,3430,3.4,3.44,3.37,"16,24M","0,88%"
2022-04-21,3400,3.47,3.5,3.4,"19,19M","-2,02%"
2022-04-20,3470,3.39,3.51,3.37,"29,87M","3,58%"
2022-04-19,3350,3.39,3.41,3.35,"13,02M","-1,18%"
2022-04-18,3390,3.4,3.44,3.37,"10,01M","-0,29%"
2022-04-14,3400,3.43,3.46,3.4,"9,59M","-1,16%"
2022-04-13,3440,3.52,3.52,3.41,"20,85M","-2,27%"
2022-04-12,3520,3.46,3.52,3.41,"17,82M","1,73%"
2022-04-11,3460,3.57,3.57,3.45,"27,78M","-2,26%"
2022-04-08,3540,3.59,3.6,3.52,"14,06M","-0,84%"
2022-04-07,3570,3.6,3.64,3.55,"18,08M","-0,83%"
2022-04-06,3600,3.68,3.68,3.56,"25,19M","-2,17%"
2022-04-05,3680,3.57,3.69,3.57,"30,82M","3,08%"
2022-04-04,3570,3.63,3.66,3.54,"36,82M","-1,38%"
2022-04-01,3620,3.66,3.69,3.6,"26,74M","-1,09%"
2022-03-31,3660,3.73,3.76,3.65,"47,42M","-1,61%"
2022-03-30,3720,3.5,3.74,3.5,"91,29M","6,90%"
2022-03-29,3480,3.48,3.56,3.48,"41,39M","0,58%"
2022-03-28,3460,3.4,3.49,3.37,"23,75M","1,76%"
2022-03-25,3400,3.39,3.42,3.38,"14,15M","0,59%"
2022-03-24,3380,3.4,3.42,3.36,"24,62M","-0,88%"
2022-03-23,3410,3.5,3.51,3.41,"16,46M","-2,29%"
2022-03-22,3490,3.46,3.5,3.44,"24,20M","0,87%"
2022-03-21,3460,3.36,3.47,3.33,"29,78M","2,98%"
2022-03-18,3360,3.43,3.44,3.34,"23,33M","-1,75%"
2022-03-17,3420,3.49,3.52,3.38,"33,99M","-0,87%"
2022-03-16,3450,3.29,3.54,3.28,"66,87M","5,18%"
2022-03-15,3280,3.4,3.44,3.28,"35,62M","-2,96%"
2022-03-14,3380,3.38,3.41,3.37,"20,87M","0,30%"
2022-03-11,3370,3.42,3.42,3.37,"19,26M","-1,75%"
2022-03-10,3430,3.45,3.46,3.37,"19,29M","0,88%"
2022-03-09,3400,3.37,3.45,3.37,"24,07M","1,19%"
2022-03-08,3360,3.42,3.52,3.36,"35,45M","-2,04%"
2022-03-07,3430,3.5,3.51,3.4,"41,98M","-2,56%"
2022-03-04,3520,3.66,3.67,3.52,"42,36M","-3,83%"
2022-03-02,3660,3.68,3.81,3.65,"37,31M","-0,54%"
2022-03-01,3680,3.69,3.73,3.67,"21,31M","0,00%"
2022-02-25,3680,3.7,3.75,3.68,"39,74M","-0,27%"
2022-02-24,3690,3.81,3.84,3.67,"51,51M","-3,40%"
2022-02-23,3820,3.81,3.86,3.8,"21,56M","0,26%"
2022-02-22,3810,3.85,3.87,3.8,"28,24M","-1,04%"
2022-02-21,3850,3.85,3.9,3.85,"12,79M","0,00%"
2022-02-18,3850,3.84,3.9,3.84,"27,43M","0,52%"
2022-02-17,3830,3.88,3.91,3.82,"28,29M","-1,03%"
2022-02-16,3870,3.88,3.92,3.87,"22,72M","0,00%"
2022-02-15,3870,3.86,3.88,3.85,"16,34M","0,52%"
2022-02-14,3850,3.9,3.91,3.85,"27,72M","-1,28%"
2022-02-11,3900,3.95,3.96,3.88,"38,09M","-2,01%"
2022-02-10,3980,3.96,4.04,3.96,"21,58M","0,51%"
2022-02-09,3960,4.0,4.02,3.96,"20,21M","-1,00%"
2022-02-08,4000,4.0,4.08,4.0,"19,02M","0,00%"
2022-02-07,4000,4.02,4.05,4.0,"14,55M","-0,50%"
2022-02-04,4020,4.02,4.04,3.99,"14,49M","0,25%"
2022-02-03,4010,4.05,4.05,4.0,"8,46M","-0,99%"
2022-02-02,4050,4.03,4.06,4.01,"8,37M","0,50%"
2022-01-31,4030,4.06,4.08,4.0,"19,20M","-0,49%"
2022-01-28,4050,4.06,4.09,4.03,"10,46M","-0,25%"
2022-01-27,4060,4.12,4.12,4.05,"6,28M","-1,69%"
2022-01-26,4130,4.06,4.13,4.05,"11,48M","1,72%"
2022-01-25,4060,4.1,4.11,4.01,"17,16M","-0,49%"
2022-01-24,4080,4.13,4.14,4.08,"9,76M","-1,69%"
2022-01-21,4150,4.09,4.15,4.08,"15,21M","1,22%"
2022-01-20,4100,4.1,4.12,4.07,"9,26M","0,00%"
2022-01-19,4100,4.11,4.11,4.08,"7,66M","-0,24%"
2022-01-18,4110,4.16,4.23,4.07,"27,04M","-0,96%"
