Date;Price;Price_number;Open;High;Low;Vol.;Change %
20/10/2022;8,5;8500;8,25;8,5;8,25;91.81M;2.72%
21/10/2022;8,65;8650;8,45;8,725;8,45;122.78M;1.76%
24/10/2022;8,9;8900;8,75;8,9;8,725;89.42M;2.89%
25/10/2022;8,7;8700;8,825;8,875;8,7;89.44M;-2.25%
26/10/2022;8,55;8550;8,625;8,65;8,55;87.21M;-1.72%
27/10/2022;8,7;8700;8,55;8,7;8,55;77.02M;1.75%
28/10/2022;8,75;8750;8,65;8,75;8,65;67.04M;0.57%
31/10/2022;8,8;8800;8,85;8,85;8,775;105.57M;0.57%
01/11/2022;8,8;8800;9;9;8,725;107.39M;0.00%
02/11/2022;8,75;8750;8,8;8,825;8,725;58.32M;-0.57%
03/11/2022;8,8;8800;8,7;8,825;8,7;72.14M;0.57%
04/11/2022;8,775;8775;8,775;8,8;8,675;69.15M;-0.28%
07/11/2022;8,85;8850;8,725;8,85;8,675;73.90M;0.85%
08/11/2022;8,75;8750;8,85;8,875;8,725;42.53M;-1.13%
09/11/2022;8,875;8875;8,675;8,875;8,675;68.17M;1.43%
10/11/2022;8,8;8800;8,725;8,8;8,725;74.78M;-0.85%
11/11/2022;8,85;8850;8,9;8,925;8,825;59.60M;0.57%
14/11/2022;8,75;8750;8,875;8,9;8,75;61.43M;-1.13%
15/11/2022;8,8;8800;8,775;8,85;8,75;47.67M;0.57%
16/11/2022;8,6;8600;8,625;8,675;8,55;143.59M;-2.27%
17/11/2022;8,725;8725;8,625;8,825;8,6;72.70M;1.45%
18/11/2022;8,825;8825;8,725;8,9;8,725;83.90M;1.15%
21/11/2022;8,725;8725;8,875;8,9;8,725;48.65M;-1.13%
22/11/2022;8,9;8900;8,9;8,95;8,85;84.68M;2.01%
23/11/2022;8,875;8875;8,9;8,975;8,875;85.52M;-0.28%
24/11/2022;9;9000;8,975;9;8,95;61.19M;1.41%
25/11/2022;8,975;8975;9;9;8,9;60.47M;-0.28%
28/11/2022;9,025;9025;9,05;9,1;8,975;77.65M;0.56%
29/11/2022;8,975;8975;8,975;9,075;8,925;81.74M;-0.55%
30/11/2022;9,3;9300;8,875;9,4;8,85;387.66M;3.62%
01/12/2022;9;9000;9,275;9,35;9;132.77M;-3.23%
02/12/2022;8,9;8900;8,9;8,975;8,9;137.81M;-1.11%
05/12/2022;8,775;8775;8,8;8,9;8,775;138.65M;-1.40%
06/12/2022;8,675;8675;8,725;8,75;8,575;180.91M;-1.14%
07/12/2022;8,45;8450;8,5;8,575;8,45;195.09M;-2.59%
08/12/2022;8,5;8500;8,375;8,575;8,35;149.61M;0.59%
09/12/2022;8,575;8575;8,5;8,6;8,45;75.50M;0.88%
12/12/2022;8,7;8700;8,525;8,7;8,475;84.28M;1.46%
13/12/2022;8,7;8700;8,625;8,7;8,55;83.50M;0.00%
14/12/2022;8,625;8625;8,6;8,7;8,525;118.24M;-0.86%
15/12/2022;8,5;8500;8,575;8,6;8,5;80.59M;-1.45%
16/12/2022;8,6;8600;8,425;8,65;8,4;124.94M;1.18%
19/12/2022;8,65;8650;8,65;8,7;8,6;54.73M;0.58%
20/12/2022;8,575;8575;8,55;8,65;8,55;41.30M;-0.87%
21/12/2022;8,675;8675;8,6;8,7;8,575;33.62M;1.17%
22/12/2022;8,575;8575;8,65;8,675;8,575;52.11M;-1.15%
