"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2023","10,475","10,500","10,500","10,250","5.61M","0.00%"
"11/07/2023","10,475","10,500","10,525","10,325","5.95M","0.00%"
"11/06/2023","10,475","10,450","10,500","10,275","4.92M","0.24%"
"11/03/2023","10,450","10,325","10,550","10,200","4.69M","0.97%"
"11/02/2023","10,350","10,375","10,575","10,250","4.73M","-0.24%"
"11/01/2023","10,375","10,325","10,550","10,075","13.17M","0.24%"
"10/31/2023","10,350","10,500","10,500","10,125","4.55M","-1.66%"
"10/30/2023","10,525","10,525","10,525","10,375","3.19M","0.00%"
"10/27/2023","10,525","10,275","10,550","10,175","5.50M","2.43%"
"10/26/2023","10,275","10,450","10,600","10,225","6.58M","-1.67%"
"10/25/2023","10,450","10,725","10,775","10,450","3.91M","-3.24%"
"10/24/2023","10,800","10,600","10,825","10,525","5.17M","2.86%"
"10/23/2023","10,500","10,650","10,725","10,450","4.21M","-0.94%"
"10/20/2023","10,600","10,475","10,775","10,450","4.73M","1.68%"
"10/19/2023","10,425","10,625","10,700","10,225","11.23M","-1.88%"
"10/18/2023","10,625","10,900","10,900","10,625","7.02M","-2.52%"
"10/17/2023","10,900","10,925","10,975","10,800","4.52M","0.00%"
"10/16/2023","10,900","11,000","11,000","10,750","2.93M","0.23%"
"10/13/2023","10,875","10,975","11,100","10,875","2.73M","-0.91%"
"10/12/2023","10,975","10,800","11,150","10,775","6.82M","2.57%"
"10/11/2023","10,700","10,850","10,975","10,700","6.41M","-1.38%"
"10/10/2023","10,850","11,100","11,100","10,850","5.72M","-2.25%"
"10/09/2023","11,100","11,400","11,400","11,075","4.36M","-3.48%"
"10/06/2023","11,500","11,625","11,700","11,450","4.72M","-1.08%"
"10/05/2023","11,625","11,275","11,675","11,250","12.76M","3.79%"
"10/04/2023","11,200","10,950","11,200","10,850","9.28M","2.28%"
"10/03/2023","10,950","11,125","11,175","10,950","4.39M","-1.35%"
"10/02/2023","11,100","11,100","11,200","11,050","3.05M","0.23%"
"09/29/2023","11,075","11,175","11,175","10,900","3.98M","0.68%"
"09/27/2023","11,000","11,225","11,225","10,975","2.61M","-1.57%"
"09/26/2023","11,175","11,275","11,275","11,025","3.48M","-0.67%"
