"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","2,300","2,330","2,350","2,280","8.70M","-0.86%"
"12/14/2023","2,320","2,400","2,420","2,320","8.57M","-2.52%"
"12/13/2023","2,380","2,420","2,430","2,370","2.64M","-1.65%"
"12/12/2023","2,420","2,410","2,420","2,360","2.35M","1.26%"
"12/11/2023","2,390","2,420","2,430","2,360","4.97M","-0.42%"
"12/08/2023","2,400","2,360","2,450","2,340","6.24M","1.69%"
"12/07/2023","2,360","2,440","2,450","2,320","6.03M","-3.28%"
"12/06/2023","2,440","2,430","2,470","2,400","7.18M","0.41%"
"12/05/2023","2,430","2,480","2,480","2,390","6.43M","-2.02%"
"12/04/2023","2,480","2,520","2,520","2,460","5.86M","-1.59%"
"12/01/2023","2,520","2,540","2,550","2,500","3.99M","-1.18%"
"11/30/2023","2,550","2,490","2,550","2,470","5.59M","2.00%"
"11/29/2023","2,500","2,530","2,540","2,470","4.34M","-1.19%"
"11/28/2023","2,530","2,490","2,530","2,470","4.70M","1.61%"
"11/27/2023","2,490","2,460","2,540","2,460","7.01M","-0.80%"
"11/24/2023","2,510","2,530","2,530","2,490","9.72M","-0.79%"
"11/23/2023","2,530","2,530","2,550","2,520","2.53M","-0.39%"
"11/22/2023","2,540","2,560","2,560","2,520","3.35M","-0.39%"
"11/21/2023","2,550","2,560","2,560","2,510","6.64M","-0.39%"
"11/20/2023","2,560","2,590","2,590","2,550","2.87M","-1.16%"
"11/17/2023","2,590","2,570","2,590","2,550","6.25M","0.39%"
"11/16/2023","2,580","2,640","2,640","2,550","5.84M","-2.27%"
"11/15/2023","2,640","2,620","2,640","2,580","7.75M","1.15%"
"11/14/2023","2,610","2,650","2,670","2,600","2.74M","-1.51%"
"11/13/2023","2,650","2,640","2,680","2,620","2.47M","1.15%"
"11/10/2023","2,620","2,670","2,680","2,620","1.80M","-1.87%"
"11/09/2023","2,670","2,620","2,700","2,620","7.77M","1.91%"
"11/08/2023","2,620","2,650","2,650","2,600","2.45M","-0.38%"
"11/07/2023","2,630","2,600","2,640","2,590","7.28M","0.38%"
"11/06/2023","2,620","2,610","2,650","2,590","14.22M","0.00%"
"11/03/2023","2,620","2,660","2,690","2,610","3.40M","-0.76%"
"11/02/2023","2,640","2,600","2,670","2,600","8.91M","1.54%"
"11/01/2023","2,600","2,700","2,700","2,590","12.44M","-8.77%"
"10/31/2023","2,850","2,650","2,850","2,590","11.36M","8.37%"
"10/30/2023","2,630","2,700","2,700","2,560","11.39M","-1.87%"
"10/27/2023","2,680","2,640","2,770","2,630","11.36M","1.52%"
"10/26/2023","2,640","2,680","2,680","2,590","3.08M","-0.75%"
"10/25/2023","2,660","2,650","2,720","2,650","1.79M","0.38%"
"10/24/2023","2,650","2,640","2,670","2,630","5.22M","0.00%"
"10/23/2023","2,650","2,610","2,690","2,590","6.48M","1.53%"
"10/20/2023","2,610","2,630","2,640","2,580","3.15M","-0.76%"
"10/19/2023","2,630","2,670","2,670","2,610","2.18M","-1.50%"
"10/18/2023","2,670","2,660","2,680","2,620","9.81M","0.75%"
"10/17/2023","2,650","2,610","2,660","2,610","8.63M","1.92%"
"10/16/2023","2,600","2,590","2,650","2,570","9.82M","0.39%"
"10/13/2023","2,590","2,610","2,620","2,550","7.37M","-0.77%"
"10/12/2023","2,610","2,640","2,670","2,610","5.79M","-1.14%"
"10/11/2023","2,640","2,650","2,700","2,620","3.78M","0.00%"
"10/10/2023","2,640","2,650","2,710","2,620","4.37M","0.00%"
"10/09/2023","2,640","2,670","2,680","2,620","9.13M","-1.12%"
"10/06/2023","2,670","2,710","2,720","2,620","9.73M","-1.84%"
"10/05/2023","2,720","2,580","2,740","2,530","12.95M","7.51%"
"10/04/2023","2,530","2,540","2,570","2,490","5.35M","0.00%"
"10/03/2023","2,530","2,530","2,560","2,510","2.09M","0.00%"
"10/02/2023","2,530","2,530","2,570","2,500","2.25M","-0.78%"
"09/29/2023","2,550","2,570","2,590","2,550","1.39M","-0.39%"
"09/27/2023","2,560","2,570","2,590","2,550","2.96M","0.79%"
"09/26/2023","2,540","2,610","2,610","2,520","5.35M","-1.93%"
"09/25/2023","2,590","2,580","2,610","2,560","2.62M","0.39%"
"09/22/2023","2,580","2,530","2,600","2,510","4.06M","2.79%"
"09/21/2023","2,510","2,500","2,540","2,490","3.96M","0.40%"
"09/20/2023","2,500","2,480","2,540","2,480","6.34M","-0.40%"
"09/19/2023","2,510","2,540","2,540","2,460","8.78M","-0.79%"
"09/18/2023","2,530","2,560","2,590","2,480","3.88M","-2.32%"
"09/15/2023","2,590","2,570","2,590","2,510","8.14M","0.78%"
"09/14/2023","2,570","2,610","2,610","2,560","8.99M","-1.53%"
"09/13/2023","2,610","2,630","2,630","2,580","4.50M","-0.38%"
